bin,original,trunc_normal,beta,log_linear
Below 2.3,1.0,1.0,1.0,1.0
2.3-2.7,1.0,1.0,1.0,1.0
2.7-3.0,12.0,12.0,12.0,12.0
3.0-3.3,,15.12,13.43,12.35
3.3-3.7,34.0,18.88,20.57,21.65
Above 3.7,9.0,9.0,9.0,9.0
